scenario,mechanism,bad_debt_rate,max_bad_debt,bad_debt_es95,avg_bad_debt,false_liquidation_count,false_liquidation_loss,total_user_loss,liquidation_count,liquidation_timing,liquidation_delay,early_liquidation_lead,ending_collateral_eth,ending_debt_usdc,scenario_group,delay_for_score,solvency_feasible,pareto_efficient,topsis_score,topsis_rank,bad_debt_es95_rank,false_liquidation_loss_rank,total_user_loss_rank,liquidation_delay_rank,liquidation_count_rank,mean_rank,metric_win_count,user_risk_axis,protocol_risk_axis
random_oracle_shock_01,uspl,0.0,0.0,0.0,0.0,1,24.147560447452047,24.147560447452047,1,,0.0,0.0,0.7760969863069261,938.4429395678026,oracle shock,0.0,True,False,0.25548323160859376,2.0,2.5,2.0,2.0,2.5,3.0,2.4,2,30.18445055931506,0.0
random_oracle_shock_02,fixed,0.0,0.0,0.0,0.0,1,34.79906706240374,34.79906706240374,1,,0.0,0.0,0.6822376748309782,695.9813412480748,oracle shock,0.0,True,False,0.0,3.5,2.5,3.5,3.5,2.5,3.0,3.0,2,43.49883382800468,0.0
random_oracle_shock_02,twap,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1391.9626824961497,oracle shock,0.0,True,True,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.6,5,0.0,0.0
random_oracle_shock_02,buffer,0.0,0.0,0.0,0.0,1,34.79906706240374,34.79906706240374,1,,0.0,0.0,0.6822376748309782,695.9813412480748,oracle shock,0.0,True,False,0.0,3.5,2.5,3.5,3.5,2.5,3.0,3.0,2,43.49883382800468,0.0
random_oracle_shock_02,uspl,0.0,0.0,0.0,0.0,1,21.7438231182102,21.7438231182102,1,,0.0,0.0,0.8014496256547304,957.0862201319457,oracle shock,0.0,True,False,0.2969639813182561,2.0,2.5,2.0,2.0,2.5,3.0,2.4,2,27.179778897762752,0.0
random_oracle_shock_03,fixed,0.0,0.0,0.0,0.0,1,34.49506692675001,34.49506692675001,1,,0.0,0.0,0.693011188559334,689.9013385350003,oracle shock,0.0,True,False,0.0,3.5,2.5,3.5,3.5,2.5,3.0,3.0,2,43.11883365843752,0.0
random_oracle_shock_03,twap,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1379.8026770700005,oracle shock,0.0,True,True,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.6,5,0.0,0.0
random_oracle_shock_03,buffer,0.0,0.0,0.0,0.0,1,34.49506692675001,34.49506692675001,1,,0.0,0.0,0.693011188559334,689.9013385350003,oracle shock,0.0,True,False,0.0,3.5,2.5,3.5,3.5,2.5,3.0,3.0,2,43.11883365843752,0.0
random_oracle_shock_03,uspl,0.0,0.0,0.0,0.0,1,32.60526560380812,32.60526560380812,1,,0.0,0.0,0.709829473423685,727.6973649938382,oracle shock,0.0,True,False,0.04462476074465097,2.0,2.5,2.0,2.0,2.5,3.0,2.4,2,40.75658200476015,0.0
random_oracle_shock_04,fixed,0.0,0.0,0.0,0.0,1,52.83428113827654,52.83428113827654,1,,0.0,0.0,0.6233793302056241,1056.6856227655308,oracle shock,0.0,True,False,0.4352694261240139,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,66.04285142284567,0.0
random_oracle_shock_04,twap,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,2113.3712455310615,oracle shock,0.0,True,True,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.6,5,0.0,0.0
random_oracle_shock_04,buffer,0.0,0.0,0.0,0.0,1,52.83428113827654,52.83428113827654,1,,0.0,0.0,0.6233793302056241,1056.6856227655308,oracle shock,0.0,True,False,0.4352694261240139,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,66.04285142284567,0.0
random_oracle_shock_04,uspl,0.0,0.0,0.0,0.0,3,64.81665773998557,64.81665773998557,3,,0.0,0.0,0.5332968647297305,817.03809073135,oracle shock,0.0,True,False,0.0,4.0,2.5,4.0,4.0,2.5,4.0,3.4,2,81.02082217498196,0.0
random_oracle_shock_05,fixed,0.0,0.0,0.0,0.0,1,35.22117310121726,35.22117310121726,1,,0.0,0.0,0.6878798139187519,704.4234620243452,oracle shock,0.0,True,False,0.0,3.5,2.5,3.5,3.5,2.5,3.0,3.0,2,44.026466376521576,0.0
